projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
209094,Science Museum Residential Conversion,London,Briefing (RIBA stage B),Report,30 Jul 2013,"Conversion of the Science Museum’s Post Office building into residential apartments to support a planning application. The scheme proposes a new courtyard at lower ground floor level, the conversion of the existing building into 11 apartments, with 2 additional apartments on two new floors proposed to be added to the top of the existing building. The existing ground floor lightwells to the north and east of the building will be opened up to bring natural light to the lower ground floor. This will involve removal of existing grilles and wheelchair ramps. A summary report, which will satisfy the planning requirements of Royal Borough of Kensington & Chelsea (A Code for Sustainable Homes assessment), is required to accompany a planning application in August 2013.","Squire and Partners (London, Cromwell Place)",,Neil Roberts,Minesh Varia
209095,Imperial College H3,London,Appraisal (RIBA stage A),Abridged Duties,08 Aug 2013,"CBS project at Hammersmith Hospital, Imperial College, in partnership with the MRC is proposing to construct a new building on the current MRC Cyclotron building site. The aim being to maximise the potential building footprint, to enable relocation and increase of the current in vivo (CBS) activities from an older building (H1 Facility) on site. The remainder of the building space will be either shell and core, or labs/office mix, to be confirmed post feasibility design. The project also includes for the decommissioning and demolition of the existing Cyclotron Building however these works will not be included in the scope of this proposal. A clear and clean site will be available for the H3 project. A Pre-Feasibility option study felt that a building of circa 13000sqm could be built in this location, subject to planning review, with a CBS requirement in the region of 7000-8000sqm. The Feasibility S",,,Chris Myers,Matthew Phinbow
209096,Park Place PA Modifications,London,Appraisal (RIBA stage A),Other,13 Aug 2013,TBC,,,Mark Ryder,
209097,Imperial College AMP Building,London,Construction (RIBA stage K),Monitoring,20 Aug 2013,"Design checking role for Laing O'Rourke, secured £30M refrurbishment of Aeronautical and Mechanical building which forms part of the Imperial College Campus",,,Chris Myers,Matthew Phinbow
209098,Neo Bankside Cat B,London,Appraisal (RIBA stage A),Other,27 Aug 2013,TBC,,,Richard Brown,Mark Doughty
209100,London Road Barking Reception,London,Appraisal (RIBA stage A),Other,10 Sep 2013,TBC,,,Matthew Warner,Matthew Warner
209101,Springhallow School,London,Appraisal (RIBA stage A),Other,13 Sep 2013,Castlebar school,,,Neil Roberts,Alexandra Vella
209102,TIQ Plot S6,London,Appraisal (RIBA stage A),Other,13 Sep 2013,TBC,tp bennett (London),Paul Cutler,Clive Williamson,
209103,16 Great Guildford Street,London,Appraisal (RIBA stage A),Other,18 Sep 2013,TBC,,,Matthew Warner,Mark Harber
209104,Mayfair Chambers - CMT,London,Appraisal (RIBA stage A),Full Duties,23 Sep 2013,TBC,,,Matthew Warner,Matthew Warner
209105,Commonwealth Bank of Australia - London Headquarters,London,Final Proposals (RIBA stage E),Full Duties,08 Oct 2013,"Hoare Lea has been appointed by the Commonweath Bank of Australia and Mace to undertake due diligence survey work and the fit out of 55,000ft2 office and trading facilities. CBA currently occupies 2 buildings at 85 Queen Victoria Street and 30 Cannon Street. The two businesses will consolidate into one London HQ building. They will occupy on a leasehold basis and the requirement is for approximately 55,000ft2 of nett office space. In terms of business groups, there will be trading staff (80 No.), wealth and investment activity and retail banking. It will be necessary to segregate the groups using secure partitions. The brief for design services will include the general office accommodation, the senior management accommodation, client meeting and dining facilities, support facilities including meeting space, with the ability to provide catering to staff and fine dining to clients. Duties and Scope o",,,Neil Roberts,Mark Doughty
209106,Chelsea Redevelopment,London,Appraisal (RIBA stage A),Other,30 Sep 2013,TBC,,,Matthew Warner,Matthew Warner
209107,"Cloud House, Glenconner Cottage",London,Ongoing,Other,02 Oct 2013,High-end residential private home for Russian client.,,,Tim Rathbone,Richard Vincent
209108,Morgan Stanley Paris Cooling Tower Works,London,Outline Proposals (RIBA stage C),Framework Agreement,04 Oct 2013,Cooling Tower works for Morgan Stanley - Paris,,,Neil Roberts,Mark Doughty
209109,Hinxton Kitchen Garden,London,Appraisal (RIBA stage A),Other,04 Oct 2013,TBC,,,Neil Roberts,Mark Doughty
209110,Project Braeburn - 1 Southbank Place,London,Appraisal (RIBA stage A),Abridged Duties,08 Oct 2013,"Shell space strategy (One Southbank Place, Tower Basement fit out and Tower Modifications/ refresh) The MEPH design to various stages for Shell’s occupational needs in their existing and forthcoming properties consisting of the existing Tower, Tower Basements and a yet to be constructed building on site, One Southbank Place (1SBP) which will be delivered by the developer to Shell & Core. • 1SBP (Tenant Works) project – circa 245k NIA ft2 (floors 1-10 inclusive) • Shell Tower Refresh/Modifications to Stage C Feasibility (by December 2013) – sqft size unknown at present • Shell Tower Basement to Stage C Feasibility (by December 2013) – circa 10k sqft • Central Plant Services Replacement in Shell Centre Tower gym The full detailed and coordinated MEPH design of a new permanent fully functional gymnasium on level 11 of the existing Shell Tower. The refurbishment of the existing floor to include (but no",Pringle Brandon Perkins+Will (London),,Chris Myers,Mark Doughty
209111,BNP Paribas - Transport for London,London,Appraisal (RIBA stage A),Abridged Duties,08 Oct 2013,"The RFP received sets out the TFL are considering a new accommodation hub that will provide up to 2,500 new work stations by 2018. As part of this the following buildings are being considered and due diligence surveys will therefore be required; 7&15 Westferry Circus E14 (fitted out to Cat A) 2&3 Bankside SE1 (currently fitted out by RBS) 5 Churchill Place E14 (currently fitted out by JP Morgan) As part of the due diligence surveys and reports the options to retain and reuse parts of the fit-outs of Bankside and Churchill place will be considered. This will include the potential reuse of the IT infrastructure and cabling.",Pringle Richards Sharratt Architects (London),Tim Edmunds,Chris Myers,Mark Doughty
209112,North Wharf Gardens Phase 1,London,Appraisal (RIBA stage A),Other,24 Oct 2013,"The scheme consists of 150 residential units and around 25,000sqft within phase 1 of the north wharf gardens development with Hoare Lea contracted to deliver stage E design for a design and build procurement. The phase 1 works provide the energy centre for the whole development which will be housed in two levels of basement. The energy strategy consists of the provision of high efficiency boilers and CHP and deliver around 35% CO2 savings over Part L 2010.",Powell Dobson (London),David Jennings,Matthew Warner,Chris Goodwin
209113,Neo Bankside Penthouse Design,London,Ongoing,Abridged Duties,29 Oct 2013,Alterations to £10m block A North penthouse.,,,Richard Brown,Chris Goodwin
209114,Midlands Goodshed Stage E,London,Final Proposals (RIBA stage E),Other,31 Oct 2013,"The Midland Goods Shed is located on the King’s Cross development in central London. The building was built in 1850 as the original King’s Cross station. It was transformed into a goods shed after the current station was built. The building is considered historic in nature and has some architectural features that are desirable to retain. The building will be refurbished into three demises, across the two building areas – the actual Midlands Good Shed and the Eastern Handyside Canopy. The majority of the ground floor within the Goods Shed and half of the Canopy will be a retail supermarket, with associated back of house areas. The remainder of the Ground Floor within the Canopy and the First Floor of the Goods Shed will be speculative Cat A office. A small, standalone retail unit will be constructed on the Ground Floor. The majority of the building envelope will be retained, with improvements made t",,,Tim Rathbone,Nick Harrison
209115,CWB Levels 6 and 7 Infrastructure,London,Appraisal (RIBA stage A),Framework Agreement,05 Nov 2013,Feasibility study only. Following the refurbishment of the south side of floors 6 & 7 in the Commonwealth Building the north side offices / laboratories were not supplied with mechanical ventilation. The current set up does meet current Health and Safety Management of Work Place Regulation 6.1 Ventilation. Therefore the areas need to be connected to the buildings systems ventilation throughout with cooling where appropriate.,,,Chris Myers,Chris Myers
209116,AIG Resilience Upgrade Works,London,Briefing (RIBA stage B),Performance Duties,13 Nov 2013,TBC,,,Neil Roberts,Ken McCulloch
209117,Imperial Tobacco,London,Ongoing,Other,14 Nov 2013,"Refurbishment of Imperial Tobacco's existing offices (aprox 2,000m2) in Winterstoke Road, Bristol. Intention is to being the existing offices upto the same standard and specification as the new HQ building currently being constructed on the same site.",,,Neil Roberts,Alexandra Vella
307507,Natwest House Guernsey,Plymouth,Ongoing,Abridged Duties,24 May 2013,,,,Jerry Barnes,Phil Thornsby
307509,Jersey Office Survey,Plymouth,Ongoing,Report,24 May 2013,,,,Jerry Barnes,Phil Thornsby
307511,Jersey Police HQ,Plymouth,Ongoing,Abridged Duties,04 Jun 2013,,,,Jerry Barnes,Phil Thornsby
307512,Jersey Police HQ BREEAM,Plymouth,Ongoing,Abridged Duties,06 Jun 2013,,,,Jerry Barnes,Phil Thornsby
307514,PAMW Birthing Unit,Plymouth,Ongoing,Framework Agreement,17 Jun 2013,This project involves works to the ground and firat floor of PAWR.,,,Karl Friedrich,Mike Roe
307515,Forensic Engineering Study of Swimming Pool Complex. Cofton Farm Dawlish,Plymouth,Ongoing,Abridged Duties,18 Jun 2013,Hoare Lea will provide Consulting Engineering advisory services to investigate the apparent shortcomings with the recently constructed swimming pool building.,,,Karl Friedrich,Terry Porter
307516,Torbay Hospital ICU / ED,Plymouth,Ongoing,Abridged Duties,18 Jun 2013,,,,Karl Friedrich,Terry Porter
307517,Broadhempston Village Hall,Plymouth,Ongoing,Abridged Duties,20 Jun 2013,Hoare Lea will provide advice on the M&E engineering aspects and services related sustainability aspects for the construction of a new village hall.,,,Karl Friedrich,Mike Roe
307518,Les Residences Jersey,Plymouth,Ongoing,Abridged Duties,28 Jun 2013,,,,Jerry Barnes,Phil Thornsby
307519,Ocean Studios - Artists' Studios at Factory Cooperage - BREEAM,Plymouth,Ongoing,Abridged Duties,19 Jul 2013,Hoare Lea will provide Mechanical and Electrical Engineering Consultancy Services.,,,Jerry Barnes,Phil Thornsby
307520,Churston Ferrers External Lighting,Plymouth,Ongoing,Abridged Duties,27 Jun 2013,,,,Jerry Barnes,Mike Roe
307521,Station Road Swimming Pool Refurbishment,Plymouth,Ongoing,Abridged Duties,01 Jul 2013,,,,Karl Friedrich,Terry Porter
307522,Primark - Truro,Plymouth,Ongoing,Abridged Duties,01 Jul 2013,,,,Karl Friedrich,Phil Thornsby
307523,UWE - HV Network Masterplan,Plymouth,Ongoing,Abridged Duties,01 Jul 2013,Hoare Lea will provide HV Electrical Consultancy to carry out an assessment of the existing HV infrastructure on the site with a view of incorporating a number of strategic changes proposed by Western Power.,,,Karl Friedrich,Paul McCabe
307524,Gooch & Housego Ongoing Works and Technical Support,Plymouth,Ongoing,Abridged Duties,02 Jul 2013,,,,Jerry Barnes,Phil Thornsby
307525,Mayflower School M&E Services,Plymouth,Ongoing,Abridged Duties,15 Jul 2013,Hoare Lea are to undertake delapidations repost for Mayflower school.,,,Jerry Barnes,Phil Thornsby
307526,UTC Kitchen Fit Out Design,Plymouth,Ongoing,Abridged Duties,15 Jul 2013,"Hoare Lea will iundertake works at Issac Foot Kitchen , with a view to removal and reistatement in UTC.",,,Jerry Barnes,Phil Thornsby
307527,Performing Arts Centre Tremough. Provision of additional studio space in undercroft,Plymouth,Ongoing,Abridged Duties,16 Jul 2013,Hoare Lea will provide mechanical and electrical consultancy services for modification works to the building that requires some modification and addition to the M&E services.,,,Karl Friedrich,Mike Roe
307528,Torbay Hospital - Re-routing of the Steam Main,Plymouth,Ongoing,Abridged Duties,16 Jul 2013,Hoare Lea will provide Mechanical and electrical consulting engineering services for the re-routing of the steam main.,,,Karl Friedrich,Terry Porter
307529,A la Ronde Boiler replacement,Plymouth,Ongoing,Abridged Duties,18 Jul 2013,Hoare Lea will be specifying suitable replacement of failing gas boiler. The current boiler is: Ideal Concord CX140 and serves the house and a self contained ground floor flat and the tea room kitchen. There is a trend BMS that controls the conservation heating in the show rooms exact details not sure about. The client also wishes to incorporate within the works an automatic shut off valve for the gas lighting as currently when fire alarm goes off this has to be switched off manually.,,,Karl Friedrich,Simon French
307530,Becton Dickinson - Drew & Co Detailed Design Appointment,Plymouth,Ongoing,Abridged Duties,01 Aug 2013,Ongoing Chilled Water Interface works between Buildings 1 and 2.,,,Jerry Barnes,Mike Roe
307531,RAF Lyneham Enabling Works Building 380 DREAM-Pre Assessment,Plymouth,Ongoing,Independent Certifier,31 Jul 2013,To complete the DREAM Pre Assessment works to determine the level achievable. This will allow the client an informed decision as to how to proceed with future DREAM works.,,,Brian Clargo,Nick Haley
307533,Plymouth University UPP Scheme Due Diligence,Plymouth,Ongoing,Abridged Duties,11 Sep 2013,,,,Jerry Barnes,Phil Thornsby
307534,Derriford - Endoscopy Unit (HLM),Plymouth,Ongoing,Abridged Duties,11 Sep 2013,,,,Karl Friedrich,Phil Thornsby
307535,RNLI Ilfracombe,Plymouth,Ongoing,Abridged Duties,11 Sep 2013,,,,Jerry Barnes,Phil Thornsby
307536,Civic Centre - Akkeron - Phase 1,Plymouth,Ongoing,Abridged Duties,12 Sep 2013,Phase 1 works associated with the Civic Centre.,,,Jerry Barnes,Phil Thornsby
307537,University of Salford Gateway Briefing,Plymouth,Ongoing,Abridged Duties,17 Sep 2013,,,,Jerry Barnes,Simon French
307538,University of Bath - Building R6 Student Accommodation,Plymouth,Ongoing,Abridged Duties,19 Sep 2013,,,,Jerry Barnes,Simon French
307539,Torbay Hospital Old Hospital water system Ph. 2,Plymouth,Ongoing,Abridged Duties,19 Sep 2013,Torbay Hospital Old Hospital boosted pressure cold water make-up water to DHW system.,,,Karl Friedrich,Terry Porter
307540,"Torbay Hospital, Provision of New Plate Heat Exchangers",Plymouth,Ongoing,Abridged Duties,19 Sep 2013,"We were asked to provide assistance with locating infrastructure reports for the tower block project, carried out a site survey to locate power supply for the podium steam replacement scheme and also look at new jobs with Norman Spiller for the specification of new plate heat exchangers.",,,Karl Friedrich,Terry Porter
307541,Heatherington Unit Side Rooms - Feasibility,Plymouth,Ongoing,Abridged Duties,19 Sep 2013,,,,Karl Friedrich,
307542,"Exeter College: New Maths, Science and Computing Centre",Plymouth,Ongoing,Abridged Duties,19 Sep 2013,,,,Karl Friedrich,Simon French
307543,RD&E Renal Procedures Room,Plymouth,Ongoing,Abridged Duties,27 Sep 2013,,,,Karl Friedrich,Simon French
307544,Coastline House - Review of Environment,Plymouth,Ongoing,Abridged Duties,04 Oct 2013,"Hoare Lea will provide a review of Coastline Housing's new HQ Building, involving assessment of pland and site inspection.",,,Jerry Barnes,Paul McCabe
307545,Derriford Hospital - IVF Laboratory Briefing Documents,Plymouth,Ongoing,Abridged Duties,17 Oct 2013,Production of Client Mechanical and Electrical Services Briefing Documents.,,,Karl Friedrich,Phil Thornsby
307546,Derriford Hospital Aseptic Suite Briefing Document,Plymouth,Ongoing,Abridged Duties,17 Oct 2013,Hoare Lea will prepare the Aseptic Suite briefing document for issue.,,,Karl Friedrich,Phil Thornsby
307547,Somerset College,Plymouth,Ongoing,Framework Agreement,17 Oct 2013,Hoare Lea will provide Building Services for Somerset College's Art's House Project.,,,Karl Friedrich,
307548,Birmingham Dental School,Plymouth,Ongoing,Abridged Duties,18 Oct 2013,Plymouth office will be providing support to Cardiff office for the works carried out in connection with the Birmingham Dental School.,,,Karl Friedrich,Phil Thornsby
307549,West Buckland School Boarding House and 6th Form Building,Plymouth,Ongoing,Abridged Duties,24 Oct 2013,Hoare Lea will provide Consulting Engineering Services for the 6th form boarding house new build and 6th form building.,,,Karl Friedrich,Phil Thornsby
307550,Plessey Gas Handling Facility,Plymouth,Ongoing,Abridged Duties,24 Oct 2013,,,,Brian Clargo,
307551,Torbay Hospital - Replacement of Substation 2 Standby LV Generator,Plymouth,Ongoing,Abridged Duties,06 Nov 2013,Replacement of Substation 2 Standby LV Generator Plant and equipment.,,,Karl Friedrich,Phil Thornsby
307552,Plymouth College of Art - Energy Audit,Plymouth,Ongoing,Abridged Duties,06 Nov 2013,Energy audit on the College Estate with a view to reducing running costs and to be more sustainable. ie things that will improve our DEC.,,,Karl Friedrich,Simon French
307553,Peninsula Arts Gallery Upgrade Feasibility,Plymouth,Ongoing,Abridged Duties,11 Nov 2013,,,,Jerry Barnes,Phil Thornsby
307554,Loampit Vale,Plymouth,Ongoing,Abridged Duties,11 Nov 2013,Hoare Lea Plymouth will undertake the drainage scheme for a 4 storey residential block within the new development in Lewisham.,,,Karl Friedrich,Simon French
307555,Derriford Hospital - HTHW Upgrading,Plymouth,Ongoing,Abridged Duties,11 Nov 2013,,,,Karl Friedrich,Phil Thornsby
307556,Derriford Hospital - Replacement of ED HTHW to LTHW Calorifiers,Plymouth,Ongoing,Abridged Duties,11 Nov 2013,Mechanical and electrical Consultancy Services.,,,Karl Friedrich,Phil Thornsby
307557,Derriford Hospital FDU Chiller Replacement,Plymouth,Ongoing,Abridged Duties,11 Nov 2013,Mechanical and electrical consulting engineering services provided to the Trust for the Derriford Hospital FDU Chiller Replacement.,,,Karl Friedrich,Phil Thornsby
